codigo_articulo,categoria,existencias_iniciales,total_entradas,total_salidas,existencias_actuales,tasa_rotacion,tiene_precio,tiene_proveedor,frecuencia_salidas,frecuencia_entradas,necesita_reposicion,origen
SINT0469,Lacteos,10.0,3.0,1.24,11.76,0.0954,0,0,2,3,0,sintetico
SINT0633,Limpieza,44.0,6.0,0.88,49.12,0.0176,0,1,2,2,0,sintetico
SINT0439,Menestras,22.0,4.0,2.34,23.66,0.09,0,0,4,3,0,sintetico
SINT0854,Huevos,46.0,2.0,1.13,46.87,0.0235,0,0,2,4,0,sintetico
0634LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0623LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0011ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0877,Harina,4.0,3.0,1.51,5.49,0.2157,0,0,1,4,0,sintetico
0285CN,"Condimentos, Salsas, cremas",4.0,0.0,0.0,4.0,0.0,0,0,0,0,1,real
0294CN,"Condimentos, Salsas, cremas",0.0,0.0,38.0,-38.0,0.0,0,0,22,0,1,real
SINT0737,Infusion,34.0,0.0,1.97,32.03,0.0579,0,0,3,5,0,sintetico
0625LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0132CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0326CN,"Condimentos, Salsas, cremas",5.0,0.0,2.0,3.0,0.4,0,1,2,0,1,real
SINT0649,Cereal,23.0,4.0,2.04,24.96,0.0756,0,0,2,2,0,sintetico
0613LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0899,Vacuno,15.0,2.0,1.97,14.58,0.119,1,0,5,2,0,sintetico
SINT0824,"Mermelada, mantequilla",50.0,4.0,2.0,52.0,0.037,0,0,2,4,0,sintetico
0635LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0878,Infusion,38.0,6.0,3.06,40.94,0.0695,0,0,4,4,0,sintetico
SINT0655,Limpieza,6.0,0.0,0.73,5.49,0.1173,1,1,6,2,0,sintetico
0161CR,Cereal,8.0,1.0,0.0,9.0,0.0,1,0,0,1,0,real
SINT0621,Infusion,10.0,5.0,3.43,11.57,0.2287,0,0,4,3,0,sintetico
0522CE,Cerdo,21.0,2.985,8.0,15.985,0.3335417969564311,0,1,1,3,0,real
SINT0983,"Condimentos, Salsas, cremas",42.0,7.0,2.97,46.03,0.0606,0,0,7,6,0,sintetico
0603LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0198AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0957,Limpieza,21.0,5.0,5.27,20.73,0.2027,1,0,2,5,0,sintetico
SINT0147,Infusion,0.0,0.0,0.61,-0.61,0.0,0,0,4,2,1,sintetico
0414LA,Lacteos,0.0,120.0,0.0,120.0,0.0,1,0,0,3,0,real
0098AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0974,Harina,42.0,5.0,3.43,43.57,0.073,0,0,2,4,0,sintetico
SINT0905,Snacks,32.0,1.0,1.18,31.82,0.0358,0,0,5,3,0,sintetico
0159CR,Cereal,10.0,44.0,38.0,16.0,0.7037037037037037,1,0,12,21,0,real
0423MR,"Mermelada, mantequilla",0.0,48.0,0.0,48.0,0.0,0,0,0,1,0,real
SINT0271,Lacteos,0.0,3.0,7.99,-4.99,2.6633,0,0,8,1,1,sintetico
0482HU,Huevos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0618,Conserva,8.0,0.0,2.34,5.66,0.2925,0,0,2,5,0,sintetico
SINT0130,Cereal,5.0,0.0,1.04,3.49,0.2298,0,0,5,1,1,sintetico
SINT0161,Harina,0.0,2.0,5.12,-3.12,2.56,0,0,1,2,1,sintetico
SINT0710,Vacuno,21.0,5.0,4.55,21.45,0.175,0,0,5,5,0,sintetico
0451SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0998,Aceite,7.0,4.0,1.88,8.84,0.1754,0,1,3,3,0,sintetico
0181CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0394IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0584LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0769,Limpieza,46.0,8.0,3.15,50.85,0.0583,0,1,1,4,0,sintetico
SINT0751,Cereal,43.0,0.0,1.62,41.38,0.0377,1,0,2,4,0,sintetico
SINT0886,Menestras,7.0,4.0,2.74,8.26,0.2491,0,0,3,3,0,sintetico
SINT0938,Limpieza,13.0,0.0,0.32,12.68,0.0246,0,0,2,4,0,sintetico
SINT0753,Limpieza,11.0,8.0,3.43,15.57,0.1805,0,0,3,4,0,sintetico
SINT0139,Cerdo,4.0,0.0,0.69,3.31,0.1724,0,0,7,2,1,sintetico
SINT0708,Menestras,15.0,0.0,0.66,14.63,0.0432,0,0,4,2,0,sintetico
0145CR,Cereal,117.0,0.0,0.0,117.0,0.0,0,0,0,0,0,real
SINT0154,Cerdo,0.0,7.0,8.07,-1.07,1.1529,1,0,8,0,1,sintetico
SINT0422,Limpieza,30.0,5.0,1.88,33.12,0.0537,0,1,4,4,0,sintetico
SINT0079,Limpieza,0.0,0.0,1.07,-1.07,0.0,0,0,8,2,1,sintetico
0642LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0849,Harina,6.0,3.0,3.22,5.36,0.3754,0,1,6,3,0,sintetico
0621LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0297CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0676EM,Otros,0.0,1.0,0.0,1.0,0.0,1,0,0,1,1,real
SINT0105,Menestras,0.0,0.0,0.41,-0.41,0.0,1,0,7,1,1,sintetico
0090AC,Aceite,97.0,5.0,46.0,56.0,0.45098039215686275,1,1,45,3,0,real
0043ME,Menestras,0.0,1.0,0.0,1.0,0.0,0,0,0,1,1,real
SINT0840,Fideos,8.0,5.0,5.11,8.03,0.3889,0,0,4,3,0,sintetico
0134CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0299,Limpieza,0.0,0.0,0.26,-0.26,0.0,0,0,5,5,1,sintetico
SINT0499,Menestras,46.0,12.0,5.73,52.27,0.0988,0,1,2,3,0,sintetico
SINT0801,Menestras,10.0,3.0,2.69,10.31,0.2069,0,1,0,3,0,sintetico
SINT0976,Vacuno,11.0,3.0,1.27,12.73,0.0907,0,0,3,2,0,sintetico
SINT0934,Lacteos,19.0,6.0,4.41,20.59,0.1764,1,0,5,6,0,sintetico
0167CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0293CN,"Condimentos, Salsas, cremas",100.0,0.0,1.0,99.0,0.01,0,0,1,0,0,real
SINT0034,"Gelatina, postres",0.0,0.0,1.2,-1.2,0.0,1,0,3,1,1,sintetico
SINT0745,Limpieza,45.0,4.0,0.92,48.08,0.0188,0,0,3,4,0,sintetico
0352FI,Fideos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0577LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0565,Harina,13.0,7.0,2.18,17.82,0.109,0,0,3,4,0,sintetico
SINT0996,Harina,12.0,0.0,0.49,11.51,0.0408,0,0,2,3,0,sintetico
SINT0709,Menestras,43.0,10.0,6.73,46.27,0.127,0,0,6,2,0,sintetico
SINT0908,Limpieza,6.0,4.0,1.99,8.01,0.199,0,1,2,4,0,sintetico
SINT0061,Menestras,2.0,8.0,9.58,0.42,0.958,0,0,3,3,1,sintetico
SINT0257,Aves,0.0,10.0,16.95,-6.95,1.695,0,1,3,1,1,sintetico
0463SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0379IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0336GE,"Gelatina, postres",0.0,6.0,0.0,6.0,0.0,0,0,0,1,0,real
SINT0380,Limpieza,0.0,4.0,5.36,-1.36,1.34,0,0,2,2,1,sintetico
SINT0803,Limpieza,12.0,0.0,1.09,10.91,0.0908,0,0,4,2,0,sintetico
SINT0236,Menestras,0.0,0.0,0.24,-0.24,0.0,1,0,5,1,1,sintetico
SINT0029,Limpieza,0.0,2.0,4.42,-2.42,2.21,1,0,7,3,1,sintetico
SINT0044,Menestras,0.0,0.0,0.23,-0.23,0.0,0,0,4,1,1,sintetico
SINT0838,Limpieza,17.0,4.0,3.04,17.96,0.1448,0,0,0,2,0,sintetico
SINT0371,Limpieza,9.0,2.0,6.28,4.72,0.5709,0,1,5,1,1,sintetico
0331CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0077,Limpieza,0.0,0.0,0.86,-0.86,0.0,0,0,3,3,1,sintetico
0321CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0115,Fideos,5.0,2.0,3.78,3.22,0.54,0,0,5,1,1,sintetico
SINT0412,Menestras,13.0,5.0,4.29,13.71,0.2383,0,0,0,3,0,sintetico
SINT0258,Conserva,12.0,6.0,14.86,3.49,0.8098,0,0,7,4,1,sintetico
0170CR,Cereal,15.0,0.0,0.0,15.0,0.0,0,0,0,0,0,real
0013ME,Menestras,4.0,2.0,0.0,6.0,0.0,1,1,0,2,0,real
0174CR,Cereal,6.0,0.0,0.0,6.0,0.0,0,0,0,0,0,real
0655LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0263CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0080,Snacks,5.0,0.0,0.73,4.27,0.146,0,0,6,2,1,sintetico
SINT0395,Frutos secos,5.0,3.0,4.06,3.94,0.5075,0,0,3,5,1,sintetico
0679EM,Otros,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0261HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0401,Snacks,16.0,0.0,1.37,14.63,0.0856,0,1,1,2,0,sintetico
0141CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0555VA,Vacuno,6.0,0.0,0.0,6.0,0.0,0,1,0,0,0,real
SINT0679,Menestras,8.0,5.0,1.85,11.15,0.1423,0,1,4,4,0,sintetico
SINT0657,Cereal,46.0,0.0,1.81,44.19,0.0393,1,0,3,4,0,sintetico
SINT0403,Harina,28.0,0.0,1.04,26.96,0.0371,0,0,1,3,0,sintetico
SINT0705,Vacuno,33.0,8.0,2.43,38.57,0.0593,0,0,3,4,0,sintetico
0564LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0142CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0435,"Condimentos, Salsas, cremas",21.0,2.0,1.21,21.79,0.0526,0,0,3,2,0,sintetico
0537VA,Vacuno,30.0,0.67,0.0,30.67,0.0,0,1,0,1,0,real
0227IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0597,Harina,40.0,0.0,0.46,39.54,0.0115,0,0,6,4,0,sintetico
0413LA,Lacteos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0328CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0506,"Mermelada, mantequilla",8.0,0.0,0.65,7.15,0.0833,0,0,3,3,0,sintetico
0301CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0012,Lacteos,0.0,3.0,6.85,-3.85,2.2833,0,1,5,3,1,sintetico
SINT0192,"Mermelada, mantequilla",0.0,0.0,1.66,-1.66,0.0,0,0,4,4,1,sintetico
SINT0462,"Condimentos, Salsas, cremas",11.0,5.0,2.3,13.54,0.1452,0,0,2,3,0,sintetico
SINT0962,Instantaneo,5.0,10.0,6.8,8.2,0.4533,0,0,1,3,0,sintetico
SINT0198,Fideos,5.0,0.0,1.37,3.64,0.2733,0,1,9,0,1,sintetico
0196AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0444FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0579LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0509AV,Aves,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0611LI,Limpieza,0.0,1.0,0.0,1.0,0.0,0,0,0,1,1,real
SINT0250,"Condimentos, Salsas, cremas",0.0,8.0,16.53,-8.53,2.0662,0,0,3,3,1,sintetico
SINT0733,Cereal,38.0,3.0,1.53,39.47,0.0373,0,0,3,5,0,sintetico
0004ME,Menestras,7.0,0.0,0.0,7.0,0.0,1,1,0,0,0,real
SINT0789,"Condimentos, Salsas, cremas",8.0,0.0,0.28,7.75,0.0348,0,0,3,4,0,sintetico
0472SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0324CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0006ME,Menestras,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,real
0225IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0553VA,Vacuno,0.0,0.0,8.0,-8.0,0.0,0,1,1,0,1,real
SINT0341,Infusion,0.0,2.0,6.72,-4.72,3.36,0,1,3,3,1,sintetico
0040ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0548VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0245HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0139CO,Conserva,3.0,0.0,0.0,3.0,0.0,0,1,0,0,1,real
SINT0928,Infusion,19.0,11.0,4.51,25.49,0.1503,0,0,3,4,0,sintetico
SINT0965,Snacks,14.0,7.0,5.16,15.84,0.2457,0,0,4,1,0,sintetico
SINT0692,Limpieza,6.0,7.0,4.35,8.63,0.3351,0,1,3,7,0,sintetico
SINT0449,Limpieza,40.0,4.0,1.09,42.91,0.0248,0,0,3,2,0,sintetico
SINT0697,"Condimentos, Salsas, cremas",15.0,0.0,1.69,13.31,0.1127,0,0,4,1,0,sintetico
SINT0538,Vacuno,48.0,0.0,0.47,47.53,0.0098,0,1,4,3,0,sintetico
SINT0465,Vacuno,23.0,4.0,0.81,26.19,0.03,0,0,5,3,0,sintetico
SINT0502,"Mermelada, mantequilla",45.0,3.0,3.1,44.9,0.0646,0,0,0,2,0,sintetico
0587LI,Limpieza,0.0,1.0,0.0,1.0,0.0,0,0,0,1,1,real
SINT0556,Menestras,9.0,9.0,7.58,10.42,0.4211,0,1,2,1,0,sintetico
SINT0385,Lacteos,0.0,0.0,2.05,-2.05,0.0,0,0,3,2,1,sintetico
0668LI,Otros,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0778,Limpieza,7.0,5.0,3.73,8.13,0.3145,0,0,2,3,0,sintetico
SINT0520,"Mermelada, mantequilla",14.0,2.0,2.49,13.32,0.1575,0,0,3,3,0,sintetico
0380IN,Infusion,8.0,0.0,0.0,8.0,0.0,0,0,0,0,0,real
SINT0046,"Condimentos, Salsas, cremas",0.0,6.0,7.64,-1.64,1.2733,0,1,4,1,1,sintetico
0317CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0446FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0430,Vacuno,39.0,2.0,2.67,38.33,0.0651,0,0,4,3,0,sintetico
0322CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0711,"Condimentos, Salsas, cremas",11.0,6.0,4.23,12.77,0.2488,0,0,1,2,0,sintetico
SINT0266,Aves,0.0,7.0,14.29,-7.29,2.0414,0,0,2,4,1,sintetico
SINT0050,Cerdo,7.0,6.0,11.48,1.52,0.8831,0,0,6,2,1,sintetico
SINT0790,Cerdo,16.0,0.0,0.92,15.08,0.0575,0,0,2,4,0,sintetico
0428MR,"Mermelada, mantequilla",3.0,0.0,0.0,3.0,0.0,0,0,0,0,1,real
0559VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0600LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0313,"Gelatina, postres",4.0,0.0,0.15,3.83,0.0377,1,0,6,1,1,sintetico
0372IN,Infusion,7.0,0.0,0.0,7.0,0.0,0,0,0,0,0,real
SINT0083,Limpieza,0.0,0.0,0.57,-0.57,0.0,0,0,2,2,1,sintetico
SINT0511,Cerdo,38.0,16.0,10.87,43.13,0.2013,0,1,2,6,0,sintetico
SINT0945,"Condimentos, Salsas, cremas",46.0,4.0,1.72,48.28,0.0344,0,1,5,6,0,sintetico
SINT0436,Aceite,10.0,5.0,3.88,11.12,0.2587,0,0,6,6,0,sintetico
0230IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0179,Limpieza,0.0,4.0,9.9,-5.9,2.475,0,1,5,3,1,sintetico
SINT0000,"Condimentos, Salsas, cremas",1.0,0.0,1.87,-0.87,1.87,1,1,5,2,1,sintetico
SINT0718,Lacteos,10.0,0.0,1.4,9.07,0.1338,0,0,0,5,0,sintetico
SINT0278,Aves,10.0,5.0,10.22,4.78,0.6813,1,1,5,2,1,sintetico
0068ME,Menestras,7.0,0.0,0.0,7.0,0.0,0,1,0,0,0,real
0397LA,Lacteos,0.0,2.0,0.0,2.0,0.0,0,0,0,2,1,real
0585LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0025ME,Menestras,4.0,0.0,0.0,4.0,0.0,0,0,0,0,1,real
0214IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0712,Snacks,11.0,0.0,0.66,10.34,0.06,0,1,4,5,0,sintetico
SINT0594,Limpieza,26.0,0.0,0.43,25.57,0.0165,0,1,3,2,0,sintetico
0542VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0065,Vacuno,0.0,5.0,10.41,-5.41,2.082,0,1,3,0,1,sintetico
SINT0025,Instantaneo,8.0,4.0,8.81,3.5,0.7156,0,0,4,2,1,sintetico
0087ME,Menestras,2.0,0.0,0.0,2.0,0.0,0,1,0,0,1,real
SINT0397,Cereal,0.0,3.0,6.6,-3.6,2.2,0,1,3,1,1,sintetico
0275CN,"Condimentos, Salsas, cremas",0.0,0.0,5.35,-5.35,0.0,0,0,3,0,1,real
SINT0156,Azucar,0.0,4.0,10.65,-6.65,2.6625,0,0,7,1,1,sintetico
SINT0541,Limpieza,10.0,2.0,1.92,10.08,0.16,0,0,2,3,0,sintetico
SINT0215,Menestras,0.0,5.0,13.43,-8.43,2.686,0,1,6,0,1,sintetico
SINT0848,Conserva,38.0,5.0,2.47,40.53,0.0574,0,0,2,3,0,sintetico
0636LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0930,Aceite,46.0,0.0,0.19,45.81,0.0041,0,1,5,3,0,sintetico
SINT0791,Menestras,17.0,4.0,1.51,19.49,0.0719,0,0,6,2,0,sintetico
SINT0912,Harina,12.0,0.0,0.88,11.22,0.0727,0,0,5,3,0,sintetico
0511AV,Aves,0.0,0.0,3.0,-3.0,0.0,0,1,1,0,1,real
0276CN,"Condimentos, Salsas, cremas",3.0,0.0,0.0,3.0,0.0,0,0,0,0,1,real
SINT0241,"Gelatina, postres",0.0,7.0,10.89,-3.89,1.5557,0,0,5,1,1,sintetico
SINT0638,"Mermelada, mantequilla",21.0,6.0,4.6,22.4,0.1704,0,1,1,2,0,sintetico
0366IN,Infusion,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,real
SINT0151,Menestras,0.0,4.0,6.18,-2.18,1.545,0,0,2,2,1,sintetico
0628LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0003ME,Menestras,2.0,0.0,0.0,2.0,0.0,1,1,0,0,1,real
0007ME,Menestras,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,real
0313CN,"Condimentos, Salsas, cremas",5.0,0.0,0.0,5.0,0.0,0,1,0,0,0,real
SINT0640,Vacuno,40.0,6.0,3.17,42.83,0.0689,0,0,2,4,0,sintetico
SINT0072,Limpieza,8.0,4.0,10.86,1.14,0.905,0,0,6,1,1,sintetico
0672EM,Otros,0.0,34.0,0.0,34.0,0.0,1,0,0,5,0,real
0368IN,Infusion,3.0,0.0,0.0,3.0,0.0,0,0,0,0,1,real
SINT0491,Aceite,32.0,5.0,2.29,34.71,0.0619,0,1,3,3,0,sintetico
0218IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0717,"Condimentos, Salsas, cremas",41.0,5.0,2.09,43.91,0.0454,0,1,1,3,0,sintetico
0028ME,Menestras,1.0,0.0,0.0,1.0,0.0,1,0,0,0,1,real
SINT0431,Azucar,13.0,9.0,2.95,19.05,0.1341,0,1,6,6,0,sintetico
0531VA,Vacuno,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,real
SINT0027,Vacuno,0.0,0.0,0.71,-0.71,0.0,0,0,3,1,1,sintetico
SINT0254,Menestras,0.0,4.0,3.73,0.27,0.9325,0,0,6,2,1,sintetico
0644LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0005,Limpieza,6.0,2.0,4.79,3.47,0.5798,0,1,2,1,1,sintetico
SINT0059,"Condimentos, Salsas, cremas",0.0,3.0,8.02,-5.02,2.6733,0,0,5,0,1,sintetico
SINT0636,Menestras,29.0,5.0,3.21,30.79,0.0944,0,1,1,3,0,sintetico
SINT0954,Aves,36.0,6.0,4.31,37.69,0.1026,0,0,3,7,0,sintetico
0630LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0008ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0259HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0237,Limpieza,4.0,0.0,0.05,3.87,0.0128,0,0,6,2,1,sintetico
0026ME,Menestras,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,real
0339GE,"Gelatina, postres",33.0,1.0,0.0,34.0,0.0,1,0,0,1,0,real
0578LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0049ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0195,"Condimentos, Salsas, cremas",0.0,0.0,0.72,-0.72,0.0,0,0,6,2,1,sintetico
0108AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0353FI,Fideos,0.0,6.0,0.0,6.0,0.0,1,0,0,1,0,real
0057ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0671,"Condimentos, Salsas, cremas",47.0,6.0,2.44,50.56,0.046,0,1,5,4,0,sintetico
0216IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0123CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0888,Harina,16.0,0.0,0.46,15.54,0.0288,0,0,2,5,0,sintetico
SINT0031,Menestras,0.0,0.0,0.86,-0.86,0.0,0,0,5,1,1,sintetico
SINT0086,Aceite,4.0,0.0,1.16,2.84,0.29,0,0,4,4,1,sintetico
0074ME,Menestras,3.0,0.0,0.0,3.0,0.0,0,0,0,0,1,real
SINT0995,Infusion,12.0,8.0,2.43,17.57,0.1215,0,0,2,5,0,sintetico
SINT0785,Aves,36.0,6.0,3.97,38.03,0.0945,0,0,2,1,0,sintetico
SINT0468,Limpieza,10.0,0.0,1.32,8.68,0.132,0,1,2,4,0,sintetico
SINT0997,Vacuno,14.0,4.0,3.47,14.53,0.1928,0,0,3,3,0,sintetico
0047ME,Menestras,0.0,0.75,3.5,-2.75,4.666666666666667,0,0,5,1,1,real
SINT0202,Menestras,0.0,0.0,0.85,-0.85,0.0,0,1,3,3,1,sintetico
0529CE,Cerdo,3.0,2.0,0.0,5.0,0.0,0,0,0,1,0,real
0235HA,Harina,0.0,4.0,0.0,4.0,0.0,1,0,0,2,1,real
SINT0576,Conserva,28.0,4.0,3.77,28.23,0.1178,0,0,5,4,0,sintetico
SINT0473,Lacteos,17.0,7.0,3.82,20.18,0.1592,0,0,5,6,0,sintetico
SINT0690,Cerdo,48.0,6.0,3.03,50.97,0.0561,0,0,2,3,0,sintetico
SINT0448,Aceite,28.0,7.0,2.66,32.34,0.076,0,1,5,5,0,sintetico
0539VA,Vacuno,6.0,0.0,0.0,6.0,0.0,0,1,0,0,0,real
SINT0024,Cereal,0.0,0.0,0.43,-0.43,0.0,0,0,3,1,1,sintetico
SINT0562,Azucar,18.0,8.0,4.81,21.19,0.185,0,0,4,1,0,sintetico
0609LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0470SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
SINT0993,Cereal,41.0,0.0,2.04,38.96,0.0498,0,0,3,1,0,sintetico
SINT0917,Infusion,37.0,0.0,1.11,35.89,0.03,0,0,4,8,0,sintetico
SINT0219,Snacks,0.0,0.0,1.06,-1.06,0.0,0,0,3,3,1,sintetico
SINT0762,"Mermelada, mantequilla",22.0,5.0,3.22,23.78,0.1193,0,0,5,4,0,sintetico
SINT0282,"Condimentos, Salsas, cremas",0.0,5.0,7.42,-2.42,1.484,0,0,7,3,1,sintetico
0062ME,Menestras,0.0,1.0,0.0,1.0,0.0,0,1,0,1,1,real
SINT0870,Fideos,4.0,6.0,3.76,6.71,0.359,0,0,4,7,0,sintetico
0094AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
0673EM,Otros,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,real
SINT0213,Menestras,8.0,9.0,15.03,1.97,0.8841,0,0,6,2,1,sintetico
SINT0784,Menestras,13.0,4.0,3.23,13.77,0.19,0,0,5,4,0,sintetico
0197AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
0283CN,"Condimentos, Salsas, cremas",14.0,0.0,0.0,14.0,0.0,0,0,0,0,0,real
SINT0280,Fideos,0.0,0.0,1.1,-1.1,0.0,0,0,6,2,1,sintetico
0363IN,Infusion,7.0,1.0,0.0,8.0,0.0,0,0,0,1,0,real
0525CE,Cerdo,2.0,0.0,1.0,1.0,0.5,0,0,1,0,1,real
SINT0471,"Condimentos, Salsas, cremas",14.0,5.0,3.94,15.06,0.2074,0,1,4,4,0,sintetico
SINT0111,Menestras,0.0,5.0,5.76,-0.76,1.152,0,1,3,3,1,sintetico
SINT0314,Snacks,0.0,4.0,6.44,-2.44,1.61,0,0,3,0,1,sintetico
0185AZ,Azucar,4.0,1.0,0.0,5.0,0.0,1,0,0,1,0,real
SINT0114,Harina,4.0,7.0,9.67,1.33,0.8791,0,0,5,2,1,sintetico
SINT0921,Aceite,35.0,3.0,2.98,35.02,0.0784,0,0,4,1,0,sintetico
0113AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real
SINT0181,Limpieza,4.0,0.0,0.68,3.6,0.1588,1,0,5,1,1,sintetico
SINT0291,Limpieza,0.0,9.0,21.82,-12.82,2.4244,0,0,7,2,1,sintetico
0044ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real
