codigo_articulo,categoria,existencias_iniciales,total_entradas,total_salidas,existencias_actuales,tasa_rotacion,tiene_precio,tiene_proveedor,frecuencia_salidas,frecuencia_entradas,necesita_reposicion,origen,nombre_producto,presentacion,unidad_medida,categoria_general,es_producto
0057ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Pallar BB 500 gr,500 gr,kg,Menestras,True
SINT0671,"Condimentos, Salsas, cremas",47.0,6.0,2.44,50.56,0.046,0,1,5,4,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0216IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Café descafeinado,,unidad,Bebidas e infusiones,True
0123CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Filete de Bonito lata,lata,lata,Conservas,True
SINT0888,Harina,16.0,0.0,0.46,15.54,0.0288,0,0,2,5,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0031,Menestras,0.0,0.0,0.86,-0.86,0.0,0,0,5,1,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0086,Aceite,4.0,0.0,1.16,2.84,0.29,0,0,4,4,1,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
0074ME,Menestras,3.0,0.0,0.0,3.0,0.0,0,0,0,0,1,real,Quinua tricolor 5 kg,5 kg,kg,Menestras,True
SINT0995,Infusion,12.0,8.0,2.43,17.57,0.1215,0,0,2,5,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0785,Aves,36.0,6.0,3.97,38.03,0.0945,0,0,2,1,0,sintetico,Registro técnico (sin descripción),,kg,Avícolas,False
SINT0468,Limpieza,10.0,0.0,1.32,8.68,0.132,0,1,2,4,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0997,Vacuno,14.0,4.0,3.47,14.53,0.1928,0,0,3,3,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0047ME,Menestras,0.0,0.75,3.5,-2.75,4.666666666666667,0,0,5,1,1,real,Moron 1 kl,1 kg,kg,Menestras,True
SINT0202,Menestras,0.0,0.0,0.85,-0.85,0.0,0,1,3,3,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0529CE,Cerdo,3.0,2.0,0.0,5.0,0.0,0,0,0,1,0,real,Toma hoock de cerdo,,kg,Cárnicos y pescados,True
0235HA,Harina,0.0,4.0,0.0,4.0,0.0,1,0,0,2,1,real,Harina s/preparar 1kg,1 kg,kg,Cereales y farináceos,True
SINT0576,Conserva,28.0,4.0,3.77,28.23,0.1178,0,0,5,4,0,sintetico,Registro técnico (sin descripción),,lata,Conservas,False
SINT0473,Lacteos,17.0,7.0,3.82,20.18,0.1592,0,0,5,6,0,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
SINT0690,Cerdo,48.0,6.0,3.03,50.97,0.0561,0,0,2,3,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0448,Aceite,28.0,7.0,2.66,32.34,0.076,0,1,5,5,0,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
0539VA,Vacuno,6.0,0.0,0.0,6.0,0.0,0,1,0,0,0,real,Anticucho de 1 kg,1 kg,kg,Cárnicos y pescados,True
SINT0024,Cereal,0.0,0.0,0.43,-0.43,0.0,0,0,3,1,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0562,Azucar,18.0,8.0,4.81,21.19,0.185,0,0,4,1,0,sintetico,Registro técnico (sin descripción),,kg,Abarrotes,False
0609LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Limpiavidrios 500 ml,500 ml,unidad,Limpieza e higiene,True
0470SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
SINT0993,Cereal,41.0,0.0,2.04,38.96,0.0498,0,0,3,1,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0917,Infusion,37.0,0.0,1.11,35.89,0.03,0,0,4,8,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0219,Snacks,0.0,0.0,1.06,-1.06,0.0,0,0,3,3,1,sintetico,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
SINT0762,"Mermelada, mantequilla",22.0,5.0,3.22,23.78,0.1193,0,0,5,4,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0282,"Condimentos, Salsas, cremas",0.0,5.0,7.42,-2.42,1.484,0,0,7,3,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0062ME,Menestras,0.0,1.0,0.0,1.0,0.0,0,1,0,1,1,real,Pop Corn 500 gr,500 gr,kg,Menestras,True
SINT0870,Fideos,4.0,6.0,3.76,6.71,0.359,0,0,4,7,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0094AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Aceite Spray 200 ml,200 ml,litro,Abarrotes,True
0673EM,Otros,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,real,Chorizo Preco x 4,,unidad,Otros,True
SINT0213,Menestras,8.0,9.0,15.03,1.97,0.8841,0,0,6,2,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0784,Menestras,13.0,4.0,3.23,13.77,0.19,0,0,5,4,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0197AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Endulzante 150 und,150 und,kg,Abarrotes,True
0283CN,"Condimentos, Salsas, cremas",14.0,0.0,0.0,14.0,0.0,0,0,0,0,0,real,Vinagre blanco 5 lt,5 lt,unidad,Abarrotes,True
SINT0280,Fideos,0.0,0.0,1.1,-1.1,0.0,0,0,6,2,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0363IN,Infusion,7.0,1.0,0.0,8.0,0.0,0,0,0,1,0,real,Manzanilla 25 und,25 und,caja,Bebidas e infusiones,True
0525CE,Cerdo,2.0,0.0,1.0,1.0,0.5,0,0,1,0,1,real,Bife de lomo,,kg,Cárnicos y pescados,True
SINT0471,"Condimentos, Salsas, cremas",14.0,5.0,3.94,15.06,0.2074,0,1,4,4,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0111,Menestras,0.0,5.0,5.76,-0.76,1.152,0,1,3,3,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0314,Snacks,0.0,4.0,6.44,-2.44,1.61,0,0,3,0,1,sintetico,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
0185AZ,Azucar,4.0,1.0,0.0,5.0,0.0,1,0,0,1,0,real,Azucar blanca 1kg,1 kg,kg,Abarrotes,True
SINT0114,Harina,4.0,7.0,9.67,1.33,0.8791,0,0,5,2,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0921,Aceite,35.0,3.0,2.98,35.02,0.0784,0,0,4,1,0,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
0113AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Registro técnico (sin descripción),,litro,Abarrotes,False
SINT0181,Limpieza,4.0,0.0,0.68,3.6,0.1588,1,0,5,1,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0291,Limpieza,0.0,9.0,21.82,-12.82,2.4244,0,0,7,2,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0044ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Maiz Cancha 1 kl,1 kg,kg,Menestras,True
SINT0866,Limpieza,39.0,3.0,1.74,40.26,0.0414,0,0,1,4,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0128CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Peras mitades 820 gr,820 gr,lata,Conservas,True
0207AZ,Azucar,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Abarrotes,False
SINT0903,"Condimentos, Salsas, cremas",48.0,0.0,1.42,46.58,0.0296,0,0,3,3,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0054ME,Menestras,3.0,0.0,0.0,3.0,0.0,0,1,0,0,1,real,Pallar 10 kg,10 kg,kg,Menestras,True
SINT0170,Azucar,6.0,8.0,10.91,3.4,0.7624,0,0,4,1,1,sintetico,Registro técnico (sin descripción),,kg,Abarrotes,False
0551VA,Vacuno,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Malaya,,kg,Cárnicos y pescados,True
0070ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Quinua Negra 1 kg,1 kg,kg,Menestras,True
SINT0911,Limpieza,6.0,1.0,1.16,5.84,0.1657,0,0,1,3,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0513AV,Aves,0.0,1.5,0.0,1.5,0.0,1,0,0,2,1,real,Muslo de pello,,kg,Avícolas,True
SINT0851,"Mermelada, mantequilla",33.0,2.0,2.28,32.72,0.0651,0,0,2,4,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0332GE,"Gelatina, postres",107.0,0.0,35.0,72.0,0.3271028037383177,0,0,9,0,0,real,GELATINA 160 gr,160 gr,unidad,Snacks y dulces,True
SINT0097,Cereal,10.0,5.0,11.4,3.6,0.76,0,0,4,0,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0186AZ,Azucar,2.0,9.0,0.0,11.0,0.0,1,0,0,7,0,real,Azucar blanca 5 kg,5 kg,kg,Abarrotes,True
0140CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Comida para gato,,lata,Conservas,True
SINT0305,Cerdo,0.0,3.0,6.18,-3.18,2.06,0,1,9,1,1,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0978,"Condimentos, Salsas, cremas",20.0,0.0,0.12,19.88,0.006,0,0,4,7,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0135CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,PALMITO CONSERVA,,lata,Conservas,True
0082ME,Menestras,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,real,Trigo 5 kg,5 kg,kg,Menestras,True
SINT0672,Limpieza,26.0,9.0,2.76,32.24,0.0789,0,0,1,2,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0107AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Aceite de Maiz 1 lt,1 lt,litro,Abarrotes,True
SINT0517,Menestras,29.0,1.0,0.16,29.84,0.0053,0,0,4,3,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0547VA,Vacuno,2.0,5.15,0.0,7.15,0.0,0,1,0,2,0,real,Entraña,,kg,Cárnicos y pescados,True
SINT0379,Menestras,0.0,2.0,3.79,-1.79,1.895,0,1,7,3,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0486PE,Pescado,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0168CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Cereal 1kl bolsa,1 kg,kg,Cereales y farináceos,True
0250HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Harina de camote 200 gr,200 gr,kg,Cereales y farináceos,True
0309CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,OREGANO MOLIDO,,unidad,Abarrotes,True
0450FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Snacks y dulces,False
SINT0991,Vacuno,45.0,2.0,1.13,45.87,0.024,0,0,3,4,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0677,Aceite,2.0,6.0,2.7,5.3,0.3375,0,0,2,2,0,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
0337GE,"Gelatina, postres",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Flan,,unidad,Snacks y dulces,True
SINT0394,"Condimentos, Salsas, cremas",7.0,5.0,12.44,-0.44,1.0367,0,0,4,0,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0361,Harina,0.0,5.0,10.16,-5.16,2.032,1,1,1,2,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0099AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Aceite de Oliva Virgen 900 ml,900 ml,litro,Abarrotes,True
SINT0490,Fideos,21.0,1.0,0.33,21.67,0.015,0,0,4,3,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0343,Cereal,0.0,0.0,0.18,-0.18,0.0,0,1,2,1,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0221,Conserva,0.0,0.0,0.77,-0.77,0.0,0,0,5,1,1,sintetico,Registro técnico (sin descripción),,lata,Conservas,False
SINT0609,Azucar,27.0,0.0,0.4,26.6,0.0148,0,0,6,4,0,sintetico,Registro técnico (sin descripción),,kg,Abarrotes,False
SINT0487,Harina,45.0,6.0,2.44,48.56,0.0478,0,1,3,3,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0425MR,"Mermelada, mantequilla",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Margarina 450 gr,450 gr,unidad,Abarrotes,True
0104AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Aceite de Oliva Spray 200 ml,200 ml,litro,Abarrotes,True
0438FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Pasas Morena,,kg,Snacks y dulces,True
0076ME,Menestras,11.0,3.0,0.0,14.0,0.0,1,1,0,2,0,real,Quinua tricolor 500 gr,500 gr,kg,Menestras,True
SINT0389,Lacteos,0.0,0.0,0.83,-0.83,0.0,0,1,5,1,1,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
SINT0344,"Condimentos, Salsas, cremas",0.0,0.0,0.4,-0.4,0.0,0,0,4,4,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0760,Cereal,47.0,3.0,2.01,47.99,0.0402,0,0,4,3,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0231IN,Instantaneo,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,unidad,Bebidas e infusiones,False
SINT0683,"Condimentos, Salsas, cremas",40.0,6.0,3.07,42.93,0.0667,0,1,1,3,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0333,Limpieza,0.0,0.0,2.13,-2.13,0.0,0,0,2,4,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0304CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,PIMIENTA MOLIDA BLANCA,,unidad,Abarrotes,True
SINT0232,Conserva,0.0,6.0,14.24,-8.24,2.3733,0,0,5,2,1,sintetico,Registro técnico (sin descripción),,lata,Conservas,False
SINT0183,Fideos,5.0,0.0,0.83,3.85,0.1772,0,0,3,3,1,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0857,Vacuno,43.0,0.0,1.34,41.66,0.0312,0,1,4,2,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0914,"Mermelada, mantequilla",6.0,2.0,0.59,7.41,0.0738,0,1,1,6,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0067,Lacteos,0.0,3.0,7.25,-4.25,2.4167,1,0,5,0,1,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
SINT0023,"Condimentos, Salsas, cremas",4.0,0.0,0.34,3.28,0.0939,0,0,4,2,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0392IN,Infusion,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,real,Boldo 25 und,25 und,caja,Bebidas e infusiones,True
0238HA,Harina,17.0,0.0,0.0,17.0,0.0,0,0,0,0,0,real,Harina preparada 1 kg,1 kg,kg,Cereales y farináceos,True
SINT0720,Vacuno,12.0,0.0,0.47,11.69,0.0386,0,0,3,2,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0270CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Sal Maras 1 kg,1 kg,unidad,Abarrotes,True
0307CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,ACHIOTE EN GRANO,,unidad,Abarrotes,True
SINT0615,Limpieza,14.0,0.0,0.49,13.51,0.035,0,1,4,4,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0949,Vacuno,15.0,3.0,1.95,16.05,0.1083,0,0,5,2,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
0120CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Lomo de atun agua lata,lata,lata,Conservas,True
SINT0780,"Mermelada, mantequilla",49.0,4.0,1.39,51.61,0.0262,0,0,1,2,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0680COR,Cordero,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,real,Cordero en trozo,,kg,Cárnicos y pescados,True
0251HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Harina de arroz glutinoso 200 gr,200 gr,kg,Cereales y farináceos,True
SINT0075,Aceite,0.0,5.0,5.11,-0.11,1.022,0,1,5,1,1,sintetico,Registro técnico (sin descripción),,litro,Abarrotes,False
SINT0666,Snacks,40.0,2.0,1.48,40.52,0.0352,0,1,4,3,0,sintetico,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
0073ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Quinua Roja 1 kg,1 kg,kg,Menestras,True
0096AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Aceite Soya 5 lt,5 lt,litro,Abarrotes,True
SINT0405,Limpieza,8.0,0.0,1.1,6.76,0.1399,0,0,2,3,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0034ME,Menestras,43.0,3.0,9.0,37.0,0.1956521739130435,1,0,3,3,0,real,Lenteja 500 gr,500 gr,kg,Menestras,True
SINT0892,Menestras,9.0,7.0,4.69,11.34,0.2925,1,0,4,6,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0512,Fideos,3.0,5.0,2.14,5.6,0.2764,0,0,1,2,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0400,Menestras,41.0,5.0,2.99,43.01,0.065,0,1,2,2,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0452SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Galletas saladas,,paquete,Snacks y dulces,True
0449FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Snacks y dulces,False
SINT0522,Menestras,2.0,7.0,2.37,6.21,0.2762,0,0,3,2,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0584,Aves,14.0,4.0,3.61,14.53,0.199,0,1,4,3,0,sintetico,Registro técnico (sin descripción),,kg,Avícolas,False
SINT0990,Limpieza,42.0,0.0,0.0,42.0,0.0,0,0,1,3,0,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0862,Menestras,21.0,0.0,0.38,20.62,0.0181,0,0,0,3,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0001ME,Menestras,29.0,3.0,0.0,32.0,0.0,1,1,0,3,0,real,Arverja partida 500 gr,500 gr,kg,Menestras,True
SINT0610,Huevos,11.0,1.0,0.78,11.22,0.065,0,0,2,3,0,sintetico,Registro técnico (sin descripción),,unidad,Avícolas,False
SINT0091,Aves,0.0,3.0,3.4,-0.4,1.1333,0,0,8,1,1,sintetico,Registro técnico (sin descripción),,kg,Avícolas,False
0079ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Soya kg,,kg,Menestras,True
0086ME,Menestras,0.0,0.0,3.0,-3.0,0.0,0,1,1,0,1,real,Semola 500 gr,500 gr,kg,Menestras,True
0147CR,Cereal,3.0,0.0,0.0,3.0,0.0,0,0,0,0,1,real,Avena precocida 380 gr,380 gr,kg,Cereales y farináceos,True
0084ME,Menestras,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,real,Trigo 50 kg,50 kg,kg,Menestras,True
0462SN,Snacks,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,paquete,Snacks y dulces,False
SINT0051,Instantaneo,0.0,2.0,5.43,-3.43,2.715,0,0,6,2,1,sintetico,Registro técnico (sin descripción),,unidad,Bebidas e infusiones,False
0683COR,Cordero,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0013,Menestras,1.0,7.0,14.28,-6.28,1.785,0,1,6,3,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0022,Menestras,0.0,5.0,9.41,-4.41,1.882,0,0,5,2,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0440FS,Frutos secos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Almedras,,kg,Snacks y dulces,True
SINT0451,Cerdo,13.0,0.0,0.83,12.17,0.0638,0,1,2,2,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0948,Instantaneo,7.0,5.0,3.66,8.34,0.305,0,0,2,2,0,sintetico,Registro técnico (sin descripción),,unidad,Bebidas e infusiones,False
0650LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Papel higienico triple hoja,,unidad,Limpieza e higiene,True
SINT0526,Menestras,4.0,7.0,2.04,9.46,0.1774,0,0,5,3,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0090,Limpieza,0.0,8.0,9.07,-1.07,1.1338,0,0,6,1,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0428,Infusion,19.0,5.0,2.81,21.19,0.1171,0,0,0,3,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0856,Menestras,21.0,0.0,0.59,20.41,0.0281,0,1,3,4,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0194,"Condimentos, Salsas, cremas",0.0,0.0,0.74,-0.74,0.0,0,1,2,2,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0898,Cereal,21.0,0.0,0.43,20.57,0.0205,0,0,3,3,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0408LA,Lacteos,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Leche 390 bolsitarro descremada,,lata,Lácteos,True
SINT0410,Lacteos,9.0,7.0,2.83,12.91,0.1798,0,0,5,2,0,sintetico,Registro técnico (sin descripción),,lata,Lácteos,False
SINT0817,Cereal,12.0,5.0,3.52,13.48,0.2071,0,0,2,3,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0841,Fideos,5.0,4.0,2.79,6.26,0.3081,0,1,3,3,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0106AC,Aceite,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Aceite de Coco 200 gr,200 gr,litro,Abarrotes,True
0615LI,Limpieza,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Desengrasante líquido 4 Lt,4 lt,unidad,Limpieza e higiene,True
SINT0424,Menestras,39.0,7.0,4.38,41.62,0.0952,0,0,3,2,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0478,"Condimentos, Salsas, cremas",6.0,0.0,0.13,5.71,0.0223,0,0,5,4,0,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
SINT0136,Vacuno,0.0,10.0,13.94,-3.94,1.394,0,0,6,4,1,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0611,Menestras,8.0,2.0,3.12,7.35,0.2979,0,0,4,2,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0244,Limpieza,0.0,8.0,17.53,-9.53,2.1912,0,0,10,2,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
SINT0602,Fideos,48.0,0.0,0.47,47.53,0.0098,0,0,2,3,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
SINT0409,Fideos,19.0,0.0,0.29,18.71,0.0153,0,0,3,4,0,sintetico,Registro técnico (sin descripción),,kg,Cereales y farináceos,False
0064ME,Menestras,45.0,0.0,0.0,45.0,0.0,0,1,0,0,0,real,Pop Corn 500 gr,500 gr,kg,Menestras,True
0284CN,"Condimentos, Salsas, cremas",0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Vinagre tinto 500 ml,500 ml,unidad,Abarrotes,True
SINT0989,Menestras,6.0,9.0,3.51,11.49,0.234,0,0,5,4,0,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
SINT0826,Infusion,27.0,3.0,1.14,28.86,0.038,0,1,1,4,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0248,"Gelatina, postres",0.0,4.0,9.34,-5.34,2.335,0,0,3,4,1,sintetico,Registro técnico (sin descripción),,unidad,Snacks y dulces,False
0241HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Harina de avena integral 200 gr,200 gr,kg,Cereales y farináceos,True
0226IN,Instantaneo,0.0,1.0,0.0,1.0,0.0,1,0,0,1,1,real,Ecco Cebada 250 GR,250 gr,unidad,Bebidas e infusiones,True
0148CR,Cereal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Avena 500 gr,500 gr,kg,Cereales y farináceos,True
SINT0216,"Condimentos, Salsas, cremas",0.0,5.0,10.55,-5.55,2.11,0,0,5,2,1,sintetico,Registro técnico (sin descripción),,unidad,Abarrotes,False
0377IN,Infusion,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Infusion dulces sueños 25 und,25 und,caja,Bebidas e infusiones,True
SINT0913,Infusion,12.0,0.0,0.16,11.84,0.0133,0,0,6,5,0,sintetico,Registro técnico (sin descripción),,caja,Bebidas e infusiones,False
SINT0335,Limpieza,4.0,4.0,4.97,3.24,0.6052,0,1,7,3,1,sintetico,Registro técnico (sin descripción),,unidad,Limpieza e higiene,False
0121CO,Conserva,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Solido de caballa lata,lata,lata,Conservas,True
SINT0619,Vacuno,49.0,7.0,3.76,52.24,0.0671,0,0,6,6,0,sintetico,Registro técnico (sin descripción),,kg,Cárnicos y pescados,False
SINT0353,Menestras,9.0,7.0,12.09,3.91,0.7556,0,0,6,1,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
0253HA,Harina,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,real,Harina de trigo integral 500 gr,500 gr,kg,Cereales y farináceos,True
SINT0387,Menestras,9.0,11.0,15.98,3.53,0.8189,1,0,3,1,1,sintetico,Registro técnico (sin descripción),,kg,Menestras,False
