codigo_articulo,nombre_producto,presentacion,unidad_medida,categoria,categoria_general,origen,es_producto
0159CR,Arroz 1 kg,1 kg,kg,Cereal,Cereales y farináceos,real,True
0423MR,Mantequilla 180 gr,180 gr,unidad,"Mermelada, mantequilla",Abarrotes,real,True
SINT0271,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0482HU,Registro técnico (sin descripción),,unidad,Huevos,Avícolas,real,False
SINT0618,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0130,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0161,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0710,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0451SN,Galletas vainilla,,paquete,Snacks,Snacks y dulces,real,True
SINT0998,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0181CR,Hojuela de Maiz 950 gr,950 gr,kg,Cereal,Cereales y farináceos,real,True
0394IN,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,real,False
0584LI,Suavizante de ropa 5 L,5 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0769,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0751,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0886,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0938,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0753,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0139,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
SINT0708,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0145CR,Avena 150 gr,150 gr,kg,Cereal,Cereales y farináceos,real,True
SINT0154,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
SINT0422,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0079,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0642LI,Bolsa basura 30 LT,30 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0849,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0621LI,Lavavajilla 500 ml repuesto,500 ml,unidad,Limpieza,Limpieza e higiene,real,True
0297CN,AJI PANCA SECO,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0676EM,Salchichon saborizado,,unidad,Otros,Otros,real,True
SINT0105,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0090AC,Aceite Vegetal 900 ml,900 ml,litro,Aceite,Abarrotes,real,True
0043ME,Maiz Cancha 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0840,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0134CO,ESPARRAGOS EN CONSERVA,,lata,Conserva,Conservas,real,True
SINT0299,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0499,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0801,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0976,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0934,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0167CR,Cereal 700 gr caja,700 gr,kg,Cereal,Cereales y farináceos,real,True
0293CN,Salsa de tomate 145 gr,145 gr,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0034,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
SINT0745,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0352FI,Fideos chinos 500 gr,500 gr,kg,Fideos,Cereales y farináceos,real,True
0577LI,Detergente líquido 20 L,20 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0565,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0996,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0709,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0908,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0061,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0257,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0463SN,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,real,False
0379IN,Muña 25 und,25 und,caja,Infusion,Bebidas e infusiones,real,True
0336GE,GELATINA DIETETICA,,unidad,"Gelatina, postres",Snacks y dulces,real,True
SINT0380,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0803,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0236,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0029,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0044,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0838,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0371,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0331CN,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,False
SINT0077,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0321CN,+,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0115,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0412,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0258,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
0170CR,Granola 200 gr bolsa,200 gr,kg,Cereal,Cereales y farináceos,real,True
0013ME,Frejol Canario 500 gr,500 gr,kg,Menestras,Menestras,real,True
0174CR,Salvado de trigo con harina linaza 750 gr,750 gr,kg,Cereal,Cereales y farináceos,real,True
0655LI,Servilletas dobldas en 4 x 100,,unidad,Limpieza,Limpieza e higiene,real,True
0263CN,Mayonesa ligth 850 gr,850 gr,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0080,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0395,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,sintetico,False
0679EM,Registro técnico (sin descripción),,unidad,Otros,Otros,real,False
0261HA,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,real,False
SINT0401,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
0141CO,Comida para perro,,lata,Conserva,Conservas,real,True
0555VA,Churrasco,,kg,Vacuno,Cárnicos y pescados,real,True
SINT0679,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0657,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0403,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0705,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0564LI,Detergente en polvo 4 Kg,4 kg,unidad,Limpieza,Limpieza e higiene,real,True
0142CO,Aceituna,,lata,Conserva,Conservas,real,True
SINT0435,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0537VA,Carne Molida especial,,kg,Vacuno,Cárnicos y pescados,real,True
0227IN,Cremas de Sopa Instantanea,,unidad,Instantaneo,Bebidas e infusiones,real,True
SINT0597,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0413LA,Leche para < 60,,lata,Lacteos,Lácteos,real,True
0328CN,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,False
SINT0506,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0301CN,PIMIENTA MOLIDA NEGRA,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0012,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0192,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0462,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0962,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
SINT0198,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0196AZ,Endulzante en polvo 200 und,200 und,kg,Azucar,Abarrotes,real,True
0444FS,Mani entero,,kg,Frutos secos,Snacks y dulces,real,True
0579LI,Suavizante de ropa 800 ml,800 ml,unidad,Limpieza,Limpieza e higiene,real,True
0509AV,Pavo 13 kg,13 kg,kg,Aves,Avícolas,real,True
0611LI,Desengrasante líquido 500 ml,500 ml,unidad,Limpieza,Limpieza e higiene,real,True
SINT0250,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0733,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0004ME,Arverja partida 5 kl gr,5 kg,kg,Menestras,Menestras,real,True
SINT0789,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0472SN,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,real,False
0324CN,Salsa Ostion,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0006ME,Frejol Bayo 500 gr,500 gr,kg,Menestras,Menestras,real,True
0225IN,Cereal Inst 7 semillas 400 gr,400 gr,unidad,Instantaneo,Bebidas e infusiones,real,True
0553VA,Hamburguesas Speciales,,kg,Vacuno,Cárnicos y pescados,real,True
SINT0341,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
0040ME,Lenteja BB 1 kl,1 kg,kg,Menestras,Menestras,real,True
0548VA,Fibe angosto,,kg,Vacuno,Cárnicos y pescados,real,True
0245HA,Harina de maca 200 gr,200 gr,kg,Harina,Cereales y farináceos,real,True
0139CO,Frejol con tocino 454 gr,454 gr,lata,Conserva,Conservas,real,True
SINT0928,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0965,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0692,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0449,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0697,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0538,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0465,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0502,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0587LI,Lejía líquida 2 lt,2 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0556,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0385,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
0668LI,Registro técnico (sin descripción),,unidad,Otros,Otros,real,False
SINT0778,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0520,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0380IN,Muña 100 und,100 und,caja,Infusion,Bebidas e infusiones,real,True
SINT0046,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0317CN,ESTRAGON SECO,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0446FS,Pistachos,,kg,Frutos secos,Snacks y dulces,real,True
SINT0430,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0322CN,CREMA DE ESPARRAGOS,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0711,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0266,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0050,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
SINT0790,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
0428MR,Mantequilla de almendras 200 gr,200 gr,unidad,"Mermelada, mantequilla",Abarrotes,real,True
0559VA,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,real,False
0600LI,Blanqueador en polvo chico,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0313,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
0372IN,Hierba Luisa 100 und,100 und,caja,Infusion,Bebidas e infusiones,real,True
SINT0083,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0511,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
SINT0945,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0436,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0230IN,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,real,False
SINT0179,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0000,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0718,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0278,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0068ME,Quinua 10 kg,10 kg,kg,Menestras,Menestras,real,True
0397LA,Leche descramada 390 lata,lata,lata,Lacteos,Lácteos,real,True
0585LI,Lejía líquida 500 ml,500 ml,unidad,Limpieza,Limpieza e higiene,real,True
0025ME,Frejol Panamito 1 kg,1 kg,kg,Menestras,Menestras,real,True
0214IN,Cafe Instantaneo Liofilizado 180 gr,180 gr,unidad,Instantaneo,Bebidas e infusiones,real,True
SINT0712,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0594,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0542VA,Mondongo 500 gr,500 gr,kg,Vacuno,Cárnicos y pescados,real,True
SINT0065,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0025,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,sintetico,False
0087ME,Pop corn 10 kg,10 kg,kg,Menestras,Menestras,real,True
SINT0397,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0275CN,Canela molida,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0156,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0541,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0215,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0848,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
0636LI,Escoba con mango,,unidad,Limpieza,Limpieza e higiene,real,True
SINT0930,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
SINT0791,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0912,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0511AV,Medallones de pavo,,kg,Aves,Avícolas,real,True
0276CN,Canela entera 2 KG,2 kg,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0241,Registro técnico (sin descripción),,unidad,"Gelatina, postres",Snacks y dulces,sintetico,False
SINT0638,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0366IN,Te 100 und,100 und,caja,Infusion,Bebidas e infusiones,real,True
SINT0151,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0628LI,Esponja espiral,,unidad,Limpieza,Limpieza e higiene,real,True
0003ME,Arverja partida 10 kg,10 kg,kg,Menestras,Menestras,real,True
0007ME,Frejol Bayo 1 kl,1 kg,kg,Menestras,Menestras,real,True
0313CN,LAUREL,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0640,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0072,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0672EM,Hot dog de pollo x 250 gr,250 gr,unidad,Otros,Otros,real,True
0368IN,Te canela 100,,caja,Infusion,Bebidas e infusiones,real,True
SINT0491,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0218IN,Café granos 1 kg,1 kg,unidad,Instantaneo,Bebidas e infusiones,real,True
SINT0717,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0028ME,Frejol Rojo 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0431,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
0531VA,Costillar,,kg,Vacuno,Cárnicos y pescados,real,True
SINT0027,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0254,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0644LI,Bolsa basura 30 LT,30 lt,unidad,Limpieza,Limpieza e higiene,real,True
SINT0005,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0059,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0636,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0954,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
0630LI,Ambientador de Aerosol,,unidad,Limpieza,Limpieza e higiene,real,True
0008ME,Frejol Caballero 5 kl,5 kg,kg,Menestras,Menestras,real,True
0259HA,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,real,False
SINT0237,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0026ME,Frejol Panamito 5 kg,5 kg,kg,Menestras,Menestras,real,True
0339GE,Chocolate de Taza,,unidad,"Gelatina, postres",Snacks y dulces,real,True
0578LI,Repuesto detergente liquido 1.2 L,1.2 lt,unidad,Limpieza,Limpieza e higiene,real,True
0049ME,Moron 10 kl,10 kg,kg,Menestras,Menestras,real,True
SINT0195,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0108AC,Aceite de Canola 1 lt,1 lt,litro,Aceite,Abarrotes,real,True
0353FI,Fideos chinos fritos,,kg,Fideos,Cereales y farináceos,real,True
0057ME,Pallar BB 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0671,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0216IN,Café descafeinado,,unidad,Instantaneo,Bebidas e infusiones,real,True
0123CO,Filete de Bonito lata,lata,lata,Conserva,Conservas,real,True
SINT0888,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0031,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0086,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0074ME,Quinua tricolor 5 kg,5 kg,kg,Menestras,Menestras,real,True
SINT0995,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0785,Registro técnico (sin descripción),,kg,Aves,Avícolas,sintetico,False
SINT0468,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0997,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
0047ME,Moron 1 kl,1 kg,kg,Menestras,Menestras,real,True
SINT0202,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0529CE,Toma hoock de cerdo,,kg,Cerdo,Cárnicos y pescados,real,True
0235HA,Harina s/preparar 1kg,1 kg,kg,Harina,Cereales y farináceos,real,True
SINT0576,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0473,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0690,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
SINT0448,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0539VA,Anticucho de 1 kg,1 kg,kg,Vacuno,Cárnicos y pescados,real,True
SINT0024,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0562,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
0609LI,Limpiavidrios 500 ml,500 ml,unidad,Limpieza,Limpieza e higiene,real,True
0470SN,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,real,False
SINT0993,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0917,Registro técnico (sin descripción),,caja,Infusion,Bebidas e infusiones,sintetico,False
SINT0219,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
SINT0762,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
SINT0282,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0062ME,Pop Corn 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0870,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0094AC,Aceite Spray 200 ml,200 ml,litro,Aceite,Abarrotes,real,True
0673EM,Chorizo Preco x 4,,unidad,Otros,Otros,real,True
SINT0213,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0784,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0197AZ,Endulzante 150 und,150 und,kg,Azucar,Abarrotes,real,True
0283CN,Vinagre blanco 5 lt,5 lt,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0280,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
0363IN,Manzanilla 25 und,25 und,caja,Infusion,Bebidas e infusiones,real,True
0525CE,Bife de lomo,,kg,Cerdo,Cárnicos y pescados,real,True
SINT0471,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0111,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
SINT0314,Registro técnico (sin descripción),,paquete,Snacks,Snacks y dulces,sintetico,False
0185AZ,Azucar blanca 1kg,1 kg,kg,Azucar,Abarrotes,real,True
SINT0114,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
SINT0921,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0113AC,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,real,False
SINT0181,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
SINT0291,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0044ME,Maiz Cancha 1 kl,1 kg,kg,Menestras,Menestras,real,True
SINT0866,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0128CO,Peras mitades 820 gr,820 gr,lata,Conserva,Conservas,real,True
0207AZ,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,real,False
SINT0903,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0054ME,Pallar 10 kg,10 kg,kg,Menestras,Menestras,real,True
SINT0170,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
0551VA,Malaya,,kg,Vacuno,Cárnicos y pescados,real,True
0070ME,Quinua Negra 1 kg,1 kg,kg,Menestras,Menestras,real,True
SINT0911,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0513AV,Muslo de pello,,kg,Aves,Avícolas,real,True
SINT0851,Registro técnico (sin descripción),,unidad,"Mermelada, mantequilla",Abarrotes,sintetico,False
0332GE,GELATINA 160 gr,160 gr,unidad,"Gelatina, postres",Snacks y dulces,real,True
SINT0097,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0186AZ,Azucar blanca 5 kg,5 kg,kg,Azucar,Abarrotes,real,True
0140CO,Comida para gato,,lata,Conserva,Conservas,real,True
SINT0305,Registro técnico (sin descripción),,kg,Cerdo,Cárnicos y pescados,sintetico,False
SINT0978,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
0135CO,PALMITO CONSERVA,,lata,Conserva,Conservas,real,True
0082ME,Trigo 5 kg,5 kg,kg,Menestras,Menestras,real,True
SINT0672,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0107AC,Aceite de Maiz 1 lt,1 lt,litro,Aceite,Abarrotes,real,True
SINT0517,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0547VA,Entraña,,kg,Vacuno,Cárnicos y pescados,real,True
SINT0379,Registro técnico (sin descripción),,kg,Menestras,Menestras,sintetico,False
0486PE,Registro técnico (sin descripción),,kg,Pescado,Cárnicos y pescados,real,False
0168CR,Cereal 1kl bolsa,1 kg,kg,Cereal,Cereales y farináceos,real,True
0309CN,OREGANO MOLIDO,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
0450FS,Registro técnico (sin descripción),,kg,Frutos secos,Snacks y dulces,real,False
SINT0991,Registro técnico (sin descripción),,kg,Vacuno,Cárnicos y pescados,sintetico,False
SINT0677,Registro técnico (sin descripción),,litro,Aceite,Abarrotes,sintetico,False
0337GE,Flan,,unidad,"Gelatina, postres",Snacks y dulces,real,True
SINT0394,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0361,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0099AC,Aceite de Oliva Virgen 900 ml,900 ml,litro,Aceite,Abarrotes,real,True
SINT0490,Registro técnico (sin descripción),,kg,Fideos,Cereales y farináceos,sintetico,False
SINT0343,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
SINT0221,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
SINT0609,Registro técnico (sin descripción),,kg,Azucar,Abarrotes,sintetico,False
SINT0487,Registro técnico (sin descripción),,kg,Harina,Cereales y farináceos,sintetico,False
0425MR,Margarina 450 gr,450 gr,unidad,"Mermelada, mantequilla",Abarrotes,real,True
0104AC,Aceite de Oliva Spray 200 ml,200 ml,litro,Aceite,Abarrotes,real,True
0438FS,Pasas Morena,,kg,Frutos secos,Snacks y dulces,real,True
0076ME,Quinua tricolor 500 gr,500 gr,kg,Menestras,Menestras,real,True
SINT0389,Registro técnico (sin descripción),,lata,Lacteos,Lácteos,sintetico,False
SINT0344,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0760,Registro técnico (sin descripción),,kg,Cereal,Cereales y farináceos,sintetico,False
0231IN,Registro técnico (sin descripción),,unidad,Instantaneo,Bebidas e infusiones,real,False
SINT0683,Registro técnico (sin descripción),,unidad,"Condimentos, Salsas, cremas",Abarrotes,sintetico,False
SINT0333,Registro técnico (sin descripción),,unidad,Limpieza,Limpieza e higiene,sintetico,False
0304CN,PIMIENTA MOLIDA BLANCA,,unidad,"Condimentos, Salsas, cremas",Abarrotes,real,True
SINT0232,Registro técnico (sin descripción),,lata,Conserva,Conservas,sintetico,False
